"input_image","prompt"
"cat_ids/31_土耳其安哥拉猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.40 to 1.20 seconds, the cat flexes both front elbows, lowers the chest, and shifts its center of mass toward its anatomical left side on the viewer's right. The left shoulder meets the floor first, the pelvis follows, and the hind legs fold into one compact side-lying pose while the forepaws fold naturally near the chest with temporary occlusion allowed. The cat remains fully inside the original frame with clear margins. The reference tail state—long tail, short tail, visible stump, or no visible tail—remains anatomically consistent; any visible segment moves with the pelvis and may be briefly occluded. From 1.20 to 1.65 seconds, the body settles and the eyes close gradually. The eyes remain closed through one quiet resting beat with a small breath until 2.25 seconds, then reopen fully by 2.45 seconds. From 2.45 seconds, the forepaws unfold and plant in sequence, the chest pushes up, and the pelvis reverses the same path to center. By 3.55 seconds, the exact reference seated pose, open eyes, paw contacts, and tail state are restored. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Soft paw pressure and one gentle body-surface contact accompany the compact descent to the floor. A single calm breath is audible during the closed-eye pause, followed by light paw and surface sounds during the controlled rise.

non_diegetic_music: N/A
"
"cat_ids/31_土耳其安哥拉猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.40 to 1.20 seconds, the cat flexes both front elbows, lowers the chest, and shifts its center of mass toward its anatomical right side on the viewer's left. The right shoulder meets the floor first, the pelvis follows, and the hind legs fold into one compact side-lying pose while the forepaws fold naturally near the chest with temporary occlusion allowed. The cat remains fully inside the original frame with clear margins. The reference tail state—long tail, short tail, visible stump, or no visible tail—remains anatomically consistent; any visible segment moves with the pelvis and may be briefly occluded. From 1.20 to 1.65 seconds, the body settles and the eyes close gradually. The eyes remain closed through one quiet resting beat with a small breath until 2.25 seconds, then reopen fully by 2.45 seconds. From 2.45 seconds, the forepaws unfold and plant in sequence, the chest pushes up, and the pelvis reverses the same path to center. By 3.55 seconds, the exact reference seated pose, open eyes, paw contacts, and tail state are restored. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Soft paw pressure and one gentle body-surface contact accompany the compact descent to the floor. A single calm breath is audible during the closed-eye pause, followed by light paw and surface sounds during the controlled rise.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.40 to 0.90 seconds, a barely perceptible inhale creates one minute local change in the lower-chest contour while the body does not translate and the overall seated pose, paws, hindquarters, head direction, ears, and reference tail state remain stable. At 0.95 seconds, both upper eyelids lower together and reopen by 1.20 seconds in one complete natural blink; the eyes keep the same color, shape, spacing, and forward gaze when open. From 1.20 to 2.70 seconds, the chest completes one gentle exhale and returns to its starting contour. By 3.20 seconds, the eyes are fully open and the breathing motion has become visually still. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Steady quiet studio room tone with one very soft inhale and exhale from the cat. The cat does not vocalize.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.40 to 0.90 seconds, the cat's anatomical left ear on the viewer's right begins a short local flex as if a light force outside the frame acts only on its tip. The ear tip moves a small distance along the direction physically permitted by its existing fold, curl, or upright morphology, with only a subtle component toward the viewer's right edge; the motion does not straighten a fold or unroll a curl. The ear root remains attached and the reference morphology bends as one recognizable unit while the ear surface and any existing hair follow the cartilage. From 0.90 to 1.70 seconds, the ear reaches one clear small-amplitude peak while the opposite ear, eyes, head, body, paws, and reference tail state remain stable. At 1.70 seconds, the force releases. The same ear follows a smooth elastic return with one tiny damped rebound and recovers its exact reference shape, orientation, and silhouette by 3.40 seconds. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Quiet studio room tone with one barely audible localized ear-surface movement during the flex and a softer movement during the damped return.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.40 to 0.90 seconds, the cat's anatomical right ear on the viewer's left begins a short local flex as if a light force outside the frame acts only on its tip. The ear tip moves a small distance along the direction physically permitted by its existing fold, curl, or upright morphology, with only a subtle component toward the viewer's left edge; the motion does not straighten a fold or unroll a curl. The ear root remains attached and the reference morphology bends as one recognizable unit while the ear surface and any existing hair follow the cartilage. From 0.90 to 1.70 seconds, the ear reaches one clear small-amplitude peak while the opposite ear, eyes, head, body, paws, and reference tail state remain stable. At 1.70 seconds, the force releases. The same ear follows a smooth elastic return with one tiny damped rebound and recovers its exact reference shape, orientation, and silhouette by 3.40 seconds. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Quiet studio room tone with one barely audible localized ear-surface movement during the flex and a softer movement during the damped return.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins. The clean frame contains only the cat and one transient wool ball defined in the motion path; only this prop unit and its associated contact shadow may cross a frame boundary along the specified entry or exit path. During 0.00–0.40 seconds, the cat holds the endpoint pose. At 0.40 seconds, one small, tightly wound matte wool ball enters from the viewer's left and rolls left-to-right along a straight path on the foreground floor, with visible rotation and one attached contact shadow. From 0.65 to 1.25 seconds, the cat's eyes track first and the head follows with one small turn; the body transfers a little weight onto the anatomical left front paw on the viewer's right while the anatomical right front paw on the viewer's left lifts. From 1.25 to 1.85 seconds, that lifted paw reaches in one compact arc and its pads meet the top of the ball, causing the ball to decelerate to a brief stop while retaining its size, round boundary, and visibility. From 1.95 to 2.30 seconds, the same paw gives one short controlled nudge toward the viewer's right while beginning to retract. The ball resumes rolling at lower speed and, together with its contact shadow, exits completely beyond the viewer's right edge by 3.20 seconds. The active paw lands at its exact reference point by 3.35 seconds, and the head and gaze recenter by 3.50 seconds. The ball remains one distinct object through normal rolling contact with the floor and the brief paw contact, preserving a clear boundary from the paw and reference tail state after each contact. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. The wool ball and its associated contact shadow are already fully outside the frame. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: A soft wool ball rolls across the floor from left to right, slows under one muted paw contact, then resumes with a quieter roll before leaving the frame. One light paw-pad landing follows over steady studio room tone.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins. The clean frame contains only the cat and one transient wool ball defined in the motion path; only this prop unit and its associated contact shadow may cross a frame boundary along the specified entry or exit path. During 0.00–0.40 seconds, the cat holds the endpoint pose. At 0.40 seconds, one small, tightly wound matte wool ball enters from the viewer's right and rolls right-to-left along a straight path on the foreground floor, with visible rotation and one attached contact shadow. From 0.65 to 1.25 seconds, the cat's eyes track first and the head follows with one small turn; the body transfers a little weight onto the anatomical right front paw on the viewer's left while the anatomical left front paw on the viewer's right lifts. From 1.25 to 1.85 seconds, that lifted paw reaches in one compact arc and its pads meet the top of the ball, causing the ball to decelerate to a brief stop while retaining its size, round boundary, and visibility. From 1.95 to 2.30 seconds, the same paw gives one short controlled nudge toward the viewer's left while beginning to retract. The ball resumes rolling at lower speed and, together with its contact shadow, exits completely beyond the viewer's left edge by 3.20 seconds. The active paw lands at its exact reference point by 3.35 seconds, and the head and gaze recenter by 3.50 seconds. The ball remains one distinct object through normal rolling contact with the floor and the brief paw contact, preserving a clear boundary from the paw and reference tail state after each contact. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. The wool ball and its associated contact shadow are already fully outside the frame. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: A soft wool ball rolls across the floor from right to left, slows under one muted paw contact, then resumes with a quieter roll before leaving the frame. One light paw-pad landing follows over steady studio room tone.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.40 to 0.95 seconds, the cat shifts its center of mass toward its anatomical left side on the viewer's right, flexes both elbows, and lowers the left shoulder while the pelvis follows in a compact, grounded arc. The anatomical left front paw slides outward along the floor before the flank makes contact. From 0.95 to 1.85 seconds, the torso rotates only far enough to form one partial roll onto the left flank and that same paw completes one reach toward the viewer's right; limb topology remains coherent while natural temporary occlusion is allowed. The reference tail state—long tail, short tail, visible stump, or no visible tail—remains anatomically consistent; any visible segment moves with the pelvis and may be briefly occluded. From 1.85 to 2.10 seconds, the cat holds one coherent side-roll-and-reach peak entirely inside the frame. From 2.10 seconds, the paw retracts first, the chest reverses the same rotation, both front paws plant in sequence at their original floor points, and the hindquarters return to center. By 3.55 seconds, the exact reference seated pose and tail state are restored. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Two soft paw shifts are followed by one brief padded body-surface contact with the floor. Quiet paw pressure and a light surface movement accompany the controlled rise back to sitting.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.40 to 0.95 seconds, the cat shifts its center of mass toward its anatomical right side on the viewer's left, flexes both elbows, and lowers the right shoulder while the pelvis follows in a compact, grounded arc. The anatomical right front paw slides outward along the floor before the flank makes contact. From 0.95 to 1.85 seconds, the torso rotates only far enough to form one partial roll onto the right flank and that same paw completes one reach toward the viewer's left; limb topology remains coherent while natural temporary occlusion is allowed. The reference tail state—long tail, short tail, visible stump, or no visible tail—remains anatomically consistent; any visible segment moves with the pelvis and may be briefly occluded. From 1.85 to 2.10 seconds, the cat holds one coherent side-roll-and-reach peak entirely inside the frame. From 2.10 seconds, the paw retracts first, the chest reverses the same rotation, both front paws plant in sequence at their original floor points, and the hindquarters return to center. By 3.55 seconds, the exact reference seated pose and tail state are restored. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Two soft paw shifts are followed by one brief padded body-surface contact with the floor. Quiet paw pressure and a light surface movement accompany the controlled rise back to sitting.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.55 to 1.20 seconds, the cat transfers weight onto its anatomical right front paw on the viewer's left and the balanced hindquarters, then lifts its anatomical left front paw on the viewer's right by flexing the wrist and elbow. The lifted paw follows one shallow arc toward the mouth while the head lowers and turns only enough to meet it; the paw remains distinct from the muzzle and all toes remain coherent. At 1.40 seconds, the tongue extends, makes the first visible contact with the raised paw, and retracts. At 1.80 seconds, the tongue repeats one second visible contact and retracts fully as the mouth closes. From 2.00 seconds, the head rises and the paw retraces the same arc. The paw pads meet their exact original floor point by 3.30 seconds, weight recenters across both front paws, and the gaze faces forward by 3.50 seconds. The hind paws retain their reference placement throughout, and the reference tail state remains unchanged. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Two small wet licking sounds occur separately in sync with the two tongue contacts. A faint body-surface movement and one soft paw-pad landing sit over quiet studio room tone.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins, and the clean frame contains only the cat. During 0.00–0.40 seconds, the cat holds the endpoint pose. From 0.55 to 1.20 seconds, the cat transfers weight onto its anatomical left front paw on the viewer's right and the balanced hindquarters, then lifts its anatomical right front paw on the viewer's left by flexing the wrist and elbow. The lifted paw follows one shallow arc toward the mouth while the head lowers and turns only enough to meet it; the paw remains distinct from the muzzle and all toes remain coherent. At 1.40 seconds, the tongue extends, makes the first visible contact with the raised paw, and retracts. At 1.80 seconds, the tongue repeats one second visible contact and retracts fully as the mouth closes. From 2.00 seconds, the head rises and the paw retraces the same arc. The paw pads meet their exact original floor point by 3.30 seconds, weight recenters across both front paws, and the gaze faces forward by 3.50 seconds. The hind paws retain their reference placement throughout, and the reference tail state remains unchanged. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: Two small wet licking sounds occur separately in sync with the two tongue contacts. A faint body-surface movement and one soft paw-pad landing sit over quiet studio room tone.

non_diegetic_music: N/A
"
"cat_ids/32_土耳其梵猫.png","How the reference pictures align with the target video — Picture 1 (from Shot 1) aligns with the 0.00-second mark of the target video; Picture 2 (from Shot 1) aligns with the 4.46-second mark of the target video.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. Picture 1 and Picture 2 show the identical full-frame endpoint image. A locked camera matching the reference perspective frames a medium full-body, front-facing portrait. At 0.00 seconds, the cat exactly matches Picture 1. Throughout the shot, preserve the same cat's facial proportions; each anatomical eye's reference color; exact ear morphology; coat or skin-surface texture; intrinsic marking topology; body proportions; paw appearance; and reference tail state, including a long tail, short tail, visible stump, or no visible tail. These features may change screen projection only as required by the pose and return to the exact endpoint projection. The camera holds a perfectly Static Shot; perspective, focal length, subject scale, crop, focus, exposure, white balance, lighting, background, and floor appearance established by the pictures remain fixed. Physical shadows stay grounded, respond coherently to contact and weight transfer, and return to the endpoint shadow. The cat remains fully inside the frame with clear margins. The clean frame contains only the cat and one transient dish-and-contents prop assembly defined in the motion path; only this prop unit and its associated contact shadow may cross a frame boundary along the specified entry or exit path. During 0.00–0.40 seconds, the cat holds the endpoint pose. At 0.40 seconds, one plain shallow matte dish holding a small amount of dry cat food enters as a single dish-and-contents prop assembly from the bottom edge, coasts inward with low momentum along the floor, and decelerates to a stop by 0.90 seconds just ahead of the front paws with a clear gap, leaving their reference appearance unobstructed. The dish keeps one stable shape and one grounded contact shadow. From 0.90 to 1.35 seconds, the cat lowers its head through a smooth neck-and-shoulder arc while all existing paw contacts remain unchanged. The muzzle dips to the food for one small mouthful at 1.50 seconds, lifts slightly, then dips for a second small mouthful at 1.90 seconds; each bite produces one subtle jaw closure while the dish and remaining kibble stay coherent. From 2.10 to 2.35 seconds, the muzzle lifts just enough for the nose to meet the far rim and give one gentle forward nudge, visibly initiating the dish's return slide along the same floor path toward the bottom edge. From 2.35 to 2.80 seconds, the head rises along the reverse arc, the mouth closes, and the gaze recenters. The dish, its contact shadow, and all remaining visible food exit completely beyond the bottom edge by 3.30 seconds. The head, chest, and gaze match the reference state by 3.50 seconds. From 3.60 seconds through the end, the cat holds the endpoint pose while only minute coat-or-skin-surface and shadow residuals, if present, damp to stillness. The dish, all remaining visible food, and their associated contact shadow are already fully outside the frame. At the final instant, the cat exactly matches Picture 2 in pose, expression, gaze, anatomy, identity, screen-side feature layout, paw and tail state, shadow, and full-frame composition. One coherent labeled action sequence occurs, with no unrelated behavior.

overall_soundscape: The shallow dish makes one soft floor slide inward and stops gently. Two small dry crunches occur separately; a light nose-to-rim tap then initiates the matching soft return slide over steady studio room tone.

non_diegetic_music: N/A
"
